 branch       t        N        S       dN/dS    dN       dS        N*dN   S*dS
1314..1315     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1315..445     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1315..128     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1314..1316     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1316..224     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1316..1317     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1317..1318     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1318..278     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1318..1319     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1319..571     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1319..512     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1317..772     0.014    420.6    164.4   0.0968   0.0013   0.0132    0.5    2.2
1313..1320     0.008    420.6    164.4   0.0968   0.0008   0.0078    0.3    1.3
1320..785     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1320..1321     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1321..523     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1321..455     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1312..1322     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1322..589     0.011    420.6    164.4   0.0968   0.0010   0.0105    0.4    1.7
1322..1323     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1323..789     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1323..362     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1311..1324     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1324..221     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1324..773     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1310..788     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1306..98      0.017    420.6    164.4   0.0968   0.0015   0.0158    0.6    2.6
1305..588     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1285..1325     0.220    420.6    164.4   0.0968   0.0202   0.2088    8.5   34.3
1325..140     0.032    420.6    164.4   0.0968   0.0029   0.0303    1.2    5.0
1325..1326     0.021    420.6    164.4   0.0968   0.0019   0.0201    0.8    3.3
1326..420     0.043    420.6    164.4   0.0968   0.0039   0.0406    1.7    6.7
1326..1327     0.042    420.6    164.4   0.0968   0.0039   0.0402    1.6    6.6
1327..1328     0.005    420.6    164.4   0.0968   0.0004   0.0046    0.2    0.8
1328..359     0.013    420.6    164.4   0.0968   0.0012   0.0124    0.5    2.0
1328..1329     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1329..360     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1329..717     0.013    420.6    164.4   0.0968   0.0012   0.0123    0.5    2.0
1327..1330     0.008    420.6    164.4   0.0968   0.0007   0.0077    0.3    1.3
1330..1331     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1331..1332     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1332..1333     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1333..170     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1333..1334     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1334..1335     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1335..47      0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1335..1336     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1336..573     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1336..452     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1334..1337     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1337..138     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1337..259     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1332..1338     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1338..1339     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1339..1340     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1340..90      0.010    420.6    164.4   0.0968   0.0009   0.0092    0.4    1.5
1340..110     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1339..729     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1338..124     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1331..1341     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1341..1342     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1342..599     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1342..266     0.010    420.6    164.4   0.0968   0.0009   0.0091    0.4    1.5
1341..790     0.010    420.6    164.4   0.0968   0.0009   0.0092    0.4    1.5
1330..581     0.013    420.6    164.4   0.0968   0.0012   0.0122    0.5    2.0
1281..1343     0.095    420.6    164.4   0.0968   0.0088   0.0907    3.7   14.9
1343..1344     0.020    420.6    164.4   0.0968   0.0018   0.0186    0.8    3.1
1344..1345     0.011    420.6    164.4   0.0968   0.0010   0.0105    0.4    1.7
1345..1346     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1346..1347     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1347..1348     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1348..652     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1348..162     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1347..380     0.012    420.6    164.4   0.0968   0.0011   0.0114    0.5    1.9
1346..562     0.009    420.6    164.4   0.0968   0.0008   0.0085    0.3    1.4
1345..1349     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1349..1350     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1350..537     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1350..641     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1349..1351     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1351..1352     0.002    420.6    164.4   0.0968   0.0002   0.0016    0.1    0.3
1352..1353     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1353..708     0.001    420.6    164.4   0.0968   0.0001   0.0013    0.1    0.2
1353..382     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1352..624     0.012    420.6    164.4   0.0968   0.0011   0.0116    0.5    1.9
1351..190     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1344..551     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1343..1354     0.004    420.6    164.4   0.0968   0.0004   0.0040    0.2    0.7
1354..1355     0.005    420.6    164.4   0.0968   0.0005   0.0049    0.2    0.8
1355..1356     0.104    420.6    164.4   0.0968   0.0096   0.0992    4.0   16.3
1356..1357     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1357..1358     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1358..794     0.006    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1358..1359     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1359..845     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1359..1360     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1360..1361     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1361..1362     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1362..1363     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1363..810     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1363..770     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1362..604     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1361..1364     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1364..1365     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1365..142     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1365..1366     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1366..542     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1366..1367     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1367..838     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1367..854     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1364..1368     0.000    420.6    164.4   0.0968   0.0000   0.0002    0.0    0.0
1368..598     0.006    420.6    164.4   0.0968   0.0006   0.0060    0.2    1.0
1368..303     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1360..600     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1357..1369     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1369..433     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1369..1370     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1370..1371     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1371..1372     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1372..1373     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1373..628     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1373..891     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1372..1374     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1374..43      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1374..1375     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1375..94      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1375..680     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1371..1376     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1376..478     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1376..383     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1370..1377     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1377..548     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1377..409     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1356..1378     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1378..1379     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1379..392     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1379..1380     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1380..1381     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1381..1382     0.011    420.6    164.4   0.0968   0.0011   0.0109    0.4    1.8
1382..20      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1382..1383     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1383..425     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1383..1384     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1384..50      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1384..1385     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1385..38      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1385..1386     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1386..760     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1386..1387     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1387..159     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1387..1388     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1388..710     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1388..1389     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1389..796     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1389..883     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1381..490     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1380..1390     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1390..275     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1390..1391     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1391..1392     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1392..740     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1392..467     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1391..1393     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1393..102     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1393..374     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1378..340     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1355..254     0.031    420.6    164.4   0.0968   0.0028   0.0291    1.2    4.8
1354..660     0.070    420.6    164.4   0.0968   0.0064   0.0662    2.7   10.9
1280..1394     0.144    420.6    164.4   0.0968   0.0132   0.1366    5.6   22.5
1394..1395     0.027    420.6    164.4   0.0968   0.0025   0.0256    1.0    4.2
1395..1396     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1396..1397     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1397..181     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1397..614     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1396..1398     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1398..390     0.004    420.6    164.4   0.0968   0.0004   0.0037    0.2    0.6
1398..483     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1395..765     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1394..1399     0.011    420.6    164.4   0.0968   0.0010   0.0102    0.4    1.7
1399..1400     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1400..1401     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1401..256     0.005    420.6    164.4   0.0968   0.0004   0.0044    0.2    0.7
1401..884     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1400..1402     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1402..1403     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1403..1404     0.000    420.6    164.4   0.0968   0.0000   0.0001    0.0    0.0
1404..1405     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1405..1406     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1406..1407     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1407..289     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1407..620     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1406..1408     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1408..150     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1408..1409     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1409..1410     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1410..212     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1410..1411     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1411..397     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1411..1412     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1412..46      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1412..1413     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1413..247     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1413..434     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1409..1414     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1414..404     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1414..238     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1405..442     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1404..304     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1403..730     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1402..453     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1399..1415     0.002    420.6    164.4   0.0968   0.0002   0.0018    0.1    0.3
1415..1416     0.005    420.6    164.4   0.0968   0.0004   0.0046    0.2    0.8
1416..1417     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1417..530     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1417..406     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1416..560     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1415..1418     0.019    420.6    164.4   0.0968   0.0017   0.0180    0.7    3.0
1418..1419     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1419..319     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1419..153     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1418..736     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1279..1420     1.072    420.6    164.4   0.0968   0.0986   1.0188   41.5  167.5
1420..443     0.257    420.6    164.4   0.0968   0.0237   0.2445   10.0   40.2
1420..1421     0.070    420.6    164.4   0.0968   0.0065   0.0669    2.7   11.0
1421..1422     0.332    420.6    164.4   0.0968   0.0305   0.3154   12.8   51.9
1422..1423     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1423..227     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1423..35      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1422..1424     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1424..118     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1424..307     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1421..822     0.172    420.6    164.4   0.0968   0.0159   0.1640    6.7   27.0
1278..1425     0.012    420.6    164.4   0.0968   0.0011   0.0110    0.4    1.8
1425..1426     0.042    420.6    164.4   0.0968   0.0039   0.0399    1.6    6.6
1426..1427     0.083    420.6    164.4   0.0968   0.0076   0.0788    3.2   12.9
1427..1428     0.032    420.6    164.4   0.0968   0.0030   0.0308    1.3    5.1
1428..959     0.113    420.6    164.4   0.0968   0.0104   0.1079    4.4   17.7
1428..32      0.061    420.6    164.4   0.0968   0.0056   0.0583    2.4    9.6
1427..1429     0.019    420.6    164.4   0.0968   0.0018   0.0184    0.7    3.0
1429..719     0.075    420.6    164.4   0.0968   0.0069   0.0714    2.9   11.7
1429..792     0.045    420.6    164.4   0.0968   0.0041   0.0426    1.7    7.0
1426..1430     0.022    420.6    164.4   0.0968   0.0021   0.0213    0.9    3.5
1430..1431     0.041    420.6    164.4   0.0968   0.0037   0.0385    1.6    6.3
1431..529     0.004    420.6    164.4   0.0968   0.0003   0.0035    0.1    0.6
1431..1432     0.008    420.6    164.4   0.0968   0.0007   0.0074    0.3    1.2
1432..294     0.004    420.6    164.4   0.0968   0.0003   0.0033    0.1    0.5
1432..400     0.012    420.6    164.4   0.0968   0.0011   0.0117    0.5    1.9
1430..1433     0.007    420.6    164.4   0.0968   0.0007   0.0069    0.3    1.1
1433..1434     0.005    420.6    164.4   0.0968   0.0005   0.0048    0.2    0.8
1434..1435     0.011    420.6    164.4   0.0968   0.0010   0.0102    0.4    1.7
1435..954     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1435..1436     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1436..1437     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1437..1438     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1438..45      0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1438..407     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1437..117     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1436..714     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1434..1439     0.007    420.6    164.4   0.0968   0.0006   0.0067    0.3    1.1
1439..1440     0.012    420.6    164.4   0.0968   0.0011   0.0112    0.5    1.8
1440..52      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1440..84      0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1439..1441     0.005    420.6    164.4   0.0968   0.0005   0.0048    0.2    0.8
1441..1442     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1442..886     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1442..556     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1441..685     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1433..1443     0.025    420.6    164.4   0.0968   0.0023   0.0240    1.0    3.9
1443..587     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1443..961     0.037    420.6    164.4   0.0968   0.0034   0.0356    1.4    5.8
1425..1444     0.018    420.6    164.4   0.0968   0.0016   0.0170    0.7    2.8
1444..1445     0.051    420.6    164.4   0.0968   0.0047   0.0487    2.0    8.0
1445..1446     0.061    420.6    164.4   0.0968   0.0056   0.0581    2.4    9.6
1446..139     0.040    420.6    164.4   0.0968   0.0037   0.0383    1.6    6.3
1446..1447     0.022    420.6    164.4   0.0968   0.0020   0.0210    0.9    3.5
1447..1448     0.030    420.6    164.4   0.0968   0.0027   0.0282    1.1    4.6
1448..695     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1448..1449     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1449..1450     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1450..797     0.007    420.6    164.4   0.0968   0.0006   0.0063    0.3    1.0
1450..1451     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1451..16      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1451..25      0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1449..65      0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1447..1452     0.006    420.6    164.4   0.0968   0.0005   0.0057    0.2    0.9
1452..1453     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.3
1453..1454     0.009    420.6    164.4   0.0968   0.0009   0.0090    0.4    1.5
1454..1455     0.007    420.6    164.4   0.0968   0.0007   0.0070    0.3    1.2
1455..1456     0.005    420.6    164.4   0.0968   0.0005   0.0047    0.2    0.8
1456..350     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1456..1457     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1457..832     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1457..499     0.013    420.6    164.4   0.0968   0.0012   0.0123    0.5    2.0
1455..122     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1454..1458     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1458..901     0.010    420.6    164.4   0.0968   0.0010   0.0099    0.4    1.6
1458..1459     0.004    420.6    164.4   0.0968   0.0004   0.0037    0.1    0.6
1459..1460     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1460..1461     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1461..491     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1461..875     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1460..536     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1459..682     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1453..119     0.033    420.6    164.4   0.0968   0.0030   0.0313    1.3    5.1
1452..1462     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1462..1463     0.012    420.6    164.4   0.0968   0.0011   0.0111    0.5    1.8
1463..1464     0.007    420.6    164.4   0.0968   0.0006   0.0064    0.3    1.1
1464..473     0.009    420.6    164.4   0.0968   0.0009   0.0089    0.4    1.5
1464..1465     0.006    420.6    164.4   0.0968   0.0006   0.0060    0.2    1.0
1465..1466     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1466..1467     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1467..1468     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1468..1469     0.013    420.6    164.4   0.0968   0.0012   0.0127    0.5    2.1
1469..800     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1469..1470     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1470..1471     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1471..1472     0.017    420.6    164.4   0.0968   0.0016   0.0163    0.7    2.7
1472..1473     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1473..179     0.017    420.6    164.4   0.0968   0.0016   0.0164    0.7    2.7
1473..779     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1472..751     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1471..1474     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1474..1475     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1475..1476     0.011    420.6    164.4   0.0968   0.0011   0.0109    0.4    1.8
1476..519     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1476..1477     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1477..755     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1477..147     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1475..1478     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1478..1479     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1479..786     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1479..402     0.008    420.6    164.4   0.0968   0.0008   0.0080    0.3    1.3
1478..1480     0.003    420.6    164.4   0.0968   0.0003   0.0031    0.1    0.5
1480..182     0.007    420.6    164.4   0.0968   0.0006   0.0063    0.3    1.0
1480..104     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1474..1481     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1481..940     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1481..326     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1470..198     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1468..1482     0.029    420.6    164.4   0.0968   0.0027   0.0276    1.1    4.5
1482..1483     0.006    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1483..477     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1483..1484     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1484..904     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
